collection_no,record_type,formation,lng,lat,collection_name,collection_subset,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,reference_no,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate
167975,col,,-71.796944,-35.604721,Whaling Survey,,,1,Holocene,,0.0117,0,54981,CL,,,estimated from map,seconds,,,gp_mid,-71.8,-35.6,291
167976,col,,-65.50444,-44.691113,Whaling Survey,,,1,Holocene,,0.0117,0,54981,AR,,,estimated from map,seconds,,,gp_mid,-65.5,-44.69,291
167977,col,,32.186111,-28.440832,Whaling Survey,,,1,Holocene,,0.0117,0,54981,ZA,,,estimated from map,seconds,,,gp_mid,32.19,-28.44,701
167978,col,,115.044998,-33.749443,Whaling Survey,,,1,Holocene,,0.0117,0,54981,AU,Western Australia,,estimated from map,seconds,,,gp_mid,115.04,-33.75,801
167979,col,,-67.025833,-67.446388,Whaling Survey,,,1,Holocene,,0.0117,0,54981,AA,Western Australia,,estimated from map,seconds,,,gp_mid,-67.03,-67.45,803
167980,col,,-73.085831,-37.198891,Whaling Survey,,,1,Holocene,,0.0117,0,54982,CL,,,,seconds,,,gp_mid,-73.09,-37.2,291
167981,col,,16.894444,-30.606112,Whaling Survey,,,1,Holocene,,0.0117,0,54983,ZA,,,estimated from map,seconds,,,gp_mid,16.89,-30.61,701
167982,col,,-80.117226,27.640556,Whaling Survey,,,1,Holocene,,0.0117,0,54984,US,Florida,,estimated from map,seconds,,,gp_mid,,,coordinates not computable using this model
167983,col,,-1.059722,44.420834,Whaling Survey,,,1,Holocene,,0.0117,0,54984,FR,,,estimated from map,seconds,,,gp_mid,-1.06,44.42,305
167984,col,,17.441389,-30.362499,Whaling Survey,,,1,Holocene,,0.0117,0,54984,ZA,,,estimated from map,seconds,,,gp_mid,17.44,-30.36,701
167985,col,,-38.860832,-14.536111,Whaling Survey,,,1,Holocene,,0.0117,0,54984,BR,,,estimated from map,seconds,,,gp_mid,-38.86,-14.54,201
167987,col,,-123.675278,39.808334,Whaling Survey,,,1,Holocene,,0.0117,0,54984,US,California,,estimated from map,seconds,,,gp_mid,-123.68,39.81,130
167988,col,,140.875549,38.401669,Whaling Survey,,,1,Holocene,,0.0117,0,54984,JP,,,estimated from map,seconds,,,gp_mid,140.88,38.4,610
167989,col,,-76.478058,-12.249167,Whaling Survey,,,1,Holocene,,0.0117,0,54984,PE,,,estimated from map,seconds,,,gp_mid,-76.48,-12.25,201
167990,col,,32.440277,-28.07361,Whaling Survey,,,1,Holocene,,0.0117,0,54984,ZA,,,estimated from map,seconds,,,gp_mid,32.44,-28.07,701
167991,col,,79.901108,14.291944,Whaling Survey,,,1,Holocene,,0.0117,0,54984,IN,,,estimated from map,seconds,,,gp_mid,79.9,14.29,501
167992,col,,16.987778,39.228889,Whaling Survey,,,1,Holocene,,0.0117,0,54984,IT,,,estimated from map,seconds,,,gp_mid,16.99,39.23,307
167993,col,,12.5,-14.271111,Whaling Survey,,,1,Holocene,,0.0117,0,54986,AO,,,estimated from map,seconds,,,gp_mid,12.5,-14.27,701
168002,col,,-73.5,6.5,Colombian copal (Poinar coll),,,3,Holocene,,0.0117,0,54969,CO,Santander,,,1,local area,Magdalena River valley,gp_mid,-73.5,6.5,203
168083,col,,135.733337,34.916668,"Yokoohji-numa, Kyoto",,,32,Holocene,,0.0117,0,54799,JP,Kyoto city,,estimated from map,minutes,,"A ground reclaimed from the bog of Yokoohji-numa, Fushimi-ku, south of Kyoto City, Kyoto Pref.",gp_mid,135.73,34.92,610
168093,col,,-75.925835,36.786667,Whaling Survey,,,1,Holocene,,0.0117,0,55061,US,Virginia,,estimated from map,seconds,,,gp_mid,-75.93,36.79,109
168094,col,,-39.275276,-16.268333,Whaling Survey,,,1,Holocene,,0.0117,0,55061,BR,,,estimated from map,seconds,,,gp_mid,-39.28,-16.27,201
168095,col,,13.635,-14.286667,Whaling Survey,,,1,Holocene,,0.0117,0,55061,AO,,,estimated from map,seconds,,,gp_mid,13.64,-14.29,701
168096,col,,-71.618889,-29.603056,Whaling Survey,,,1,Holocene,,0.0117,0,55061,CL,,,estimated from map,seconds,,,gp_mid,-71.62,-29.6,291
168097,col,,82.541389,16.508888,Whaling Survey,,,1,Holocene,,0.0117,0,55061,IN,,,estimated from map,seconds,,,gp_mid,,,coordinates not computable using this model
168098,col,,-76.882774,34.733334,Whaling Survey,,,1,Holocene,,0.0117,0,55062,US,North Carolina,,estimated from map,minutes,,,gp_mid,-76.88,34.73,109
168099,col,,-38.166943,-12.920833,Whaling Survey,,,1,Holocene,,0.0117,0,55062,BR,,,estimated from map,seconds,,,gp_mid,-38.17,-12.92,201
168100,col,,-107.512497,23.999443,Whaling Survey,,,1,Holocene,,0.0117,0,55062,MX,,,estimated from map,seconds,,,gp_mid,-107.51,24,104
168101,col,,-78.44278,-8.986111,Whaling Survey,,,1,Holocene,,0.0117,0,55062,CL,,,estimated from map,seconds,,,gp_mid,-78.44,-8.99,201
168102,col,,39.242779,-8.491944,Whaling Survey,,,1,Holocene,,0.0117,0,55062,TZ,,,estimated from map,seconds,,,gp_mid,39.24,-8.49,701
168103,col,,80.210831,14.476111,Whaling Survey,,,1,Holocene,,0.0117,0,55062,IN,,,estimated from map,seconds,,,gp_mid,80.21,14.48,501
168104,col,,-77.173889,34.641388,Whaling Survey,,,1,Holocene,,0.0117,0,55063,US,North Carolina,,estimated from map,seconds,,,gp_mid,-77.17,34.64,109
168105,col,,17.220556,-30.752222,Whaling Survey,,,1,Holocene,,0.0117,0,55063,ZA,,,estimated from map,seconds,,,gp_mid,17.22,-30.75,701
168106,col,,176.500275,-38.109444,Whaling Survey,,,1,Holocene,,0.0117,0,55063,NZ,,,estimated from map,seconds,,,gp_mid,176.5,-38.11,806
168107,col,,-71.087502,-29.836666,Whaling Survey,,,1,Holocene,,0.0117,0,55063,NZ,,,estimated from map,seconds,,,gp_mid,-71.09,-29.84,291
168108,col,,31.041389,-28.965834,Whaling Survey,,,1,Holocene,,0.0117,0,55063,ZA,,,estimated from map,seconds,,,gp_mid,31.04,-28.97,701
168109,col,,80.238335,12.798611,Whaling Survey,,,1,Holocene,,0.0117,0,55063,IN,,,estimated from map,seconds,,,gp_mid,80.24,12.8,501
168110,col,,14.935556,40.616112,Whaling Survey,,,1,Holocene,,0.0117,0,55063,IT,,,estimated from map,seconds,,,gp_mid,14.94,40.62,307
168113,col,,-77.498055,34.424168,Whaling Survey,,,1,Holocene,,0.0117,0,55075,US,North Carolina,,estimated from map,seconds,,,gp_mid,-77.5,34.42,109
168114,col,,-9.866111,29.537779,Whaling Survey,,,1,Holocene,,0.0117,0,55075,MA,,,estimated from map,seconds,,,gp_mid,-9.87,29.54,714
168115,col,,17.160278,-29.844168,Whaling Survey,,,1,Holocene,,0.0117,0,55075,ZA,,,estimated from map,seconds,,,gp_mid,17.16,-29.84,701
168116,col,,-40.077221,-19.111389,Whaling Survey,,,1,Holocene,,0.0117,0,55075,BR,,,estimated from map,seconds,,,gp_mid,-40.08,-19.11,201
168117,col,,-76.28833,-13.402778,Whaling Survey,,,1,Holocene,,0.0117,0,55075,PE,,,estimated from map,seconds,,,gp_mid,-76.29,-13.4,201
168118,col,,-116.410278,31.280001,Whaling Survey,,,1,Holocene,,0.0117,0,55075,MX,,,estimated from map,seconds,,,gp_mid,,,coordinates not computable using this model
168119,col,,141.504715,39.007778,Whaling Survey,,,1,Holocene,,0.0117,0,55075,JP,,,estimated from map,seconds,,,gp_mid,141.5,39.01,610
168120,col,,177.561951,-39.05611,Whaling Survey,,,1,Holocene,,0.0117,0,55075,NZ,,,estimated from map,seconds,,,gp_mid,177.56,-39.06,806
168121,col,,39.222221,-9.252222,Whaling Survey,,,1,Holocene,,0.0117,0,55075,TZ,,,estimated from map,seconds,,,gp_mid,39.22,-9.25,701
168122,col,,81.937225,16.308611,Whaling Survey,,,1,Holocene,,0.0117,0,55075,IN,,,estimated from map,seconds,,,gp_mid,81.94,16.31,501
168123,col,,-50.164165,62.669445,Whaling Survey,,,1,Holocene,,0.0117,0,55077,GL,,,estimated from map,seconds,,,gp_mid,-50.16,62.67,102
168124,col,,-14.392778,64.832779,Whaling Survey,,,1,Holocene,,0.0117,0,55077,IS,,,estimated from map,seconds,,,gp_mid,-14.39,64.83,907
168125,col,,11.447222,79.252502,Whaling Survey,,,1,Holocene,,0.0117,0,55077,SJ,,,estimated from map,seconds,,,gp_mid,11.45,79.25,309
168126,col,,-67.478615,-49.135277,Whaling Survey,,,1,Holocene,,0.0117,0,55077,AR,,,estimated from map,seconds,,,gp_mid,-67.48,-49.14,291
168127,col,,-73.696945,-40.853611,Whaling Survey,,,1,Holocene,,0.0117,0,55077,CL,,,estimated from map,seconds,,,gp_mid,-73.7,-40.85,291
168128,col,,-60.029999,-62.441387,Whaling Survey,,,1,Holocene,,0.0117,0,55077,AA,,,estimated from map,seconds,,,gp_mid,-60.03,-62.44,803
168129,col,,-123.838608,42.236389,Whaling Survey,,,1,Holocene,,0.0117,0,55077,US,Oregon,,estimated from map,seconds,,,gp_mid,-123.84,42.24,129
168130,col,,141.854721,39.694168,Whaling Survey,,,1,Holocene,,0.0117,0,55077,JP,,,estimated from map,seconds,,,gp_mid,141.85,39.69,610
168131,col,,176.132217,-39.897499,Whaling Survey,,,1,Holocene,,0.0117,0,55077,NZ,,,estimated from map,seconds,,,gp_mid,176.13,-39.9,806
168133,col,,17.84111,-30.458611,Whaling Survey,,,1,Holocene,,0.0117,0,55077,ZA,,,estimated from map,seconds,,,gp_mid,17.84,-30.46,701
168134,col,,-73.718613,-39.511665,Whaling Survey,,,1,Holocene,,0.0117,0,55078,CL,,,estimated from map,seconds,,,gp_mid,-73.72,-39.51,291
168135,col,,-58.205833,-38.566666,Whaling Survey,,,1,Holocene,,0.0117,0,55078,AR,,,estimated from map,seconds,,,gp_mid,-58.21,-38.57,202
168136,col,,17.468056,-30.492779,Whaling Survey,,,1,Holocene,,0.0117,0,55078,ZA,,,estimated from map,seconds,,,gp_mid,17.47,-30.49,701
168137,col,,30.61861,-30.684999,Whaling Survey,,,1,Holocene,,0.0117,0,55078,ZA,,,estimated from map,seconds,,,gp_mid,30.62,-30.68,701
168138,col,,115.43306,-31.010279,Whaling Survey,,,1,Holocene,,0.0117,0,55078,AU,Western Australia,,estimated from map,seconds,,,gp_mid,115.43,-31.01,801
168139,col,,148.875275,-37.759724,Whaling Survey,,,1,Holocene,,0.0117,0,55078,AU,Victoria,,estimated from map,seconds,,,gp_mid,148.88,-37.76,801
168140,col,,141.580276,39.713612,Whaling Survey,,,1,Holocene,,0.0117,0,55078,JP,,,estimated from map,seconds,,,gp_mid,141.58,39.71,610
168141,col,,-123.937225,44.136944,Whaling Survey,,,1,Holocene,,0.0117,0,55078,US,Oregon,,estimated from map,seconds,,,gp_mid,-123.94,44.14,129
168142,col,,17.6875,-30.424168,Whaling Survey,,,1,Holocene,,0.0117,0,55079,ZA,,,estimated from map,seconds,,,gp_mid,17.69,-30.42,701
168143,col,,31.530277,-29.21611,Whaling Survey,,,1,Holocene,,0.0117,0,55079,ZA,,,estimated from map,seconds,,,gp_mid,31.53,-29.22,701
168144,col,,-62.293056,-40.580002,Whaling Survey,,,1,Holocene,,0.0117,0,55079,AR,,,estimated from map,seconds,,,gp_mid,-62.29,-40.58,291
168145,col,,-73.389168,-38.449722,Whaling Survey,,,1,Holocene,,0.0117,0,55079,CL,,,estimated from map,seconds,,,gp_mid,-73.39,-38.45,291
168146,col,,115.311943,-28.989445,Whaling Survey,,,1,Holocene,,0.0117,0,55079,AU,Western Australia,,estimated from map,seconds,,,gp_mid,115.31,-28.99,801
168147,col,,149.105835,-37.790833,Whaling Survey,,,1,Holocene,,0.0117,0,55079,AU,Victoria,,estimated from map,seconds,,,gp_mid,149.11,-37.79,801
168148,col,,141.810837,39.27639,Whaling Survey,,,1,Holocene,,0.0117,0,55079,JP,,,estimated from map,seconds,,,gp_mid,141.81,39.28,610
168149,col,,-123.926392,44.307499,Whaling Survey,,,1,Holocene,,0.0117,0,55079,US,Oregon,,estimated from map,seconds,,,gp_mid,-123.93,44.31,129
168150,col,,-74.421944,39.565834,Whaling Survey,,,1,Holocene,,0.0117,0,55079,US,New Jersey,,estimated from map,seconds,,,gp_mid,-74.42,39.57,109
168151,col,,-8.811667,39.960556,Whaling Survey,,,1,Holocene,,0.0117,0,55079,PT,,,estimated from map,seconds,,,gp_mid,-8.81,39.96,304
168152,col,,12.192778,41.725555,Whaling Survey,,,1,Holocene,,0.0117,0,55079,IT,,,estimated from map,seconds,,,gp_mid,12.19,41.73,307
168153,col,,-81.101669,28.140556,Whaling Survey,,,1,Holocene,,0.0117,0,25906,US,Florida,,estimated from map,seconds,,,gp_mid,-81.1,28.14,109
168154,col,,-15.798889,23.368334,Whaling Survey,,,1,Holocene,,0.0117,0,25906,EH,,,estimated from map,seconds,,,gp_mid,-15.8,23.37,714
168155,col,,12.457778,-14.909444,Whaling Survey,,,1,Holocene,,0.0117,0,25906,AO,,,estimated from map,seconds,,,gp_mid,12.46,-14.91,701
168156,col,,-38.606667,-16.795834,Whaling Survey,,,1,Holocene,,0.0117,0,25906,BR,,,estimated from map,seconds,,,gp_mid,-38.61,-16.8,201
168157,col,,-79.124168,-6.8575,Whaling Survey,,,1,Holocene,,0.0117,0,25906,PE,,,estimated from map,seconds,,,gp_mid,-79.12,-6.86,201
168158,col,,-105.359444,19.612223,Whaling Survey,,,1,Holocene,,0.0117,0,25906,MX,,,estimated from map,seconds,,,gp_mid,-105.36,19.61,104
168159,col,,178.087784,-38.457222,Whaling Survey,,,1,Holocene,,0.0117,0,25906,NZ,,,estimated from map,seconds,,,gp_mid,178.09,-38.46,806
168160,col,,141.920837,39.447498,Whaling Survey,,,1,Holocene,,0.0117,0,25906,JP,,,estimated from map,seconds,,,gp_mid,141.92,39.45,610
168161,col,,39.08889,-7.315278,Whaling Survey,,,1,Holocene,,0.0117,0,25906,TZ,,,estimated from map,seconds,,,gp_mid,39.09,-7.32,701
168162,col,,81.408333,16.078333,Whaling Survey,,,1,Holocene,,0.0117,0,25906,IN,,,estimated from map,seconds,,,gp_mid,81.41,16.08,501
168163,col,,-80.398331,27.206667,Whaling Survey,,,1,Holocene,,0.0117,0,55081,US,Florida,,estimated from map,seconds,,,gp_mid,-80.4,27.21,109
168165,col,,-39.045834,-3.7125,Whaling Survey,,,1,Holocene,,0.0117,0,55081,BR,,,estimated from map,seconds,,,gp_mid,-39.05,-3.71,201
168166,col,,12.282222,-15.481667,Whaling Survey,,,1,Holocene,,0.0117,0,55081,AO,,,estimated from map,seconds,,,gp_mid,12.28,-15.48,701
168167,col,,-8.899444,39.052223,Whaling Survey,,,1,Holocene,,0.0117,0,55081,PT,,,estimated from map,seconds,,,gp_mid,-8.9,39.05,304
168168,col,,-123.596664,44.530834,Whaling Survey,,,1,Holocene,,0.0117,0,55081,US,Oregon,,estimated from map,seconds,,,gp_mid,-123.6,44.53,129
168170,col,,-77.45417,-10.597222,Whaling Survey,,,1,Holocene,,0.0117,0,55081,PE,,,estimated from map,seconds,,,gp_mid,-77.45,-10.6,201
168171,col,,178.219727,-38.38139,Whaling Survey,,,1,Holocene,,0.0117,0,55081,NZ,,,estimated from map,seconds,,,gp_mid,178.22,-38.38,806
168172,col,,141.744995,38.418331,Whaling Survey,,,1,Holocene,,0.0117,0,55081,JP,,,estimated from map,seconds,,,gp_mid,141.74,38.42,610
168173,col,,39.352501,-8.250556,Whaling Survey,,,1,Holocene,,0.0117,0,55081,TZ,,,estimated from map,seconds,,,gp_mid,39.35,-8.25,701
168174,col,,79.89222,12.230278,Whaling Survey,,,1,Holocene,,0.0117,0,55081,IN,,,estimated from map,seconds,,,gp_mid,79.89,12.23,501
168175,col,,80.183334,12.679167,Whaling Survey,,,1,Holocene,,0.0117,0,55081,IN,,,estimated from map,seconds,,,gp_mid,80.18,12.68,501
168176,col,,39.490002,-9.176667,Whaling Survey,,,1,Holocene,,0.0117,0,55081,TZ,,,estimated from map,seconds,,,gp_mid,39.49,-9.18,701
168178,col,,14.616944,-23.174444,Whaling Survey,,,1,Holocene,,0.0117,0,55081,NA,,,estimated from map,seconds,,,gp_mid,14.62,-23.17,701
168179,col,,-9.025556,38.99472,Whaling Survey,,,1,Holocene,,0.0117,0,55081,PT,,,estimated from map,seconds,,,gp_mid,-9.03,38.99,304
168180,col,,-38.468887,-4.021667,Whaling Survey,,,1,Holocene,,0.0117,0,55081,BR,,,estimated from map,seconds,,,gp_mid,-38.47,-4.02,201
168181,col,,-80.392776,27.674999,Whaling Survey,,,1,Holocene,,0.0117,0,55081,US,Florida,,estimated from map,seconds,,,gp_mid,-80.39,27.67,109
168182,col,,-124.074448,44.313057,Whaling Survey,,,1,Holocene,,0.0117,0,55081,US,Oregon,,estimated from map,seconds,,,gp_mid,-124.07,44.31,129
168183,col,,-76.569725,-13.118333,Whaling Survey,,,1,Holocene,,0.0117,0,55081,PE,,,estimated from map,seconds,,,gp_mid,-76.57,-13.12,201
168184,col,,178.57666,-38.19611,Whaling Survey,,,1,Holocene,,0.0117,0,55081,NZ,,,estimated from map,seconds,,,gp_mid,178.58,-38.2,806
168185,col,,141.750549,38.87722,Whaling Survey,,,1,Holocene,,0.0117,0,55081,JP,,,estimated from map,seconds,,,gp_mid,141.75,38.88,610
168186,col,,12.199722,41.78278,Whaling Survey,,,1,Holocene,,0.0117,0,55081,IT,,,estimated from map,seconds,,,gp_mid,12.2,41.78,307
168193,col,,-80.75,28.638332,Whaling Survey,,,1,Holocene,,0.0117,0,55082,US,Florida,,estimated from map,seconds,,,gp_mid,-80.75,28.64,109
168194,col,,-9.646389,52.053055,Whaling Survey,,,1,Holocene,,0.0117,0,55082,IE,,,estimated from map,seconds,,,gp_mid,-9.65,52.05,315
168195,col,,17.599722,-30.797777,Whaling Survey,,,1,Holocene,,0.0117,0,55082,ZA,,,estimated from map,seconds,,,gp_mid,17.6,-30.8,701
168196,col,,-38.474445,-14.37,Whaling Survey,,,1,Holocene,,0.0117,0,55082,BR,,,estimated from map,seconds,,,gp_mid,-38.47,-14.37,201
168197,col,,39.396667,-9.263889,Whaling Survey,,,1,Holocene,,0.0117,0,55082,TZ,,,estimated from map,seconds,,,gp_mid,39.4,-9.26,701
168198,col,,80.265831,13.7375,Whaling Survey,,,1,Holocene,,0.0117,0,55082,IN,,,estimated from map,seconds,,,gp_mid,80.27,13.74,501
168199,col,,11.535278,78.650833,Whaling Survey,,,1,Holocene,,0.0117,0,55082,SJ,,,estimated from map,seconds,,,gp_mid,11.54,78.65,309
168200,col,,-61.0625,-63.992222,Whaling Survey,,,1,Holocene,,0.0117,0,55082,AA,,,estimated from map,seconds,,,gp_mid,-61.06,-63.99,803
168201,col,,10.831944,42.290558,Whaling Survey,,,1,Holocene,,0.0117,0,55082,IT,,,estimated from map,seconds,,,gp_mid,10.83,42.29,307
168202,col,,143.546661,42.509724,Whaling Survey,,,1,Holocene,,0.0117,0,55082,JP,,,estimated from map,seconds,,,gp_mid,143.55,42.51,609
168203,col,,178.307495,-38.053333,Whaling Survey,,,1,Holocene,,0.0117,0,55082,NZ,,,estimated from map,seconds,,,gp_mid,178.31,-38.05,806
168204,col,,-71.389725,-31.138611,Whaling Survey,,,1,Holocene,,0.0117,0,55082,CL,,,estimated from map,seconds,,,gp_mid,-71.39,-31.14,291
168205,col,,-115.510834,29.093611,Whaling Survey,,,1,Holocene,,0.0117,0,55082,MX,,,estimated from map,seconds,,,gp_mid,,,coordinates not computable using this model
168206,col,,12.192778,41.725555,Whaling Survey,,,1,Holocene,,0.0117,0,55082,IT,,,estimated from map,seconds,,,gp_mid,12.19,41.73,307
168207,col,,14.829444,77.516945,Whaling Survey,,,1,Holocene,,0.0117,0,55082,SJ,,,estimated from map,seconds,,,gp_mid,14.83,77.52,309
168208,col,,-60.229168,-63.624722,Whaling Survey,,,1,Holocene,,0.0117,0,55082,AA,,,estimated from map,seconds,,,gp_mid,-60.23,-63.62,803
168209,col,,-59.086666,-38.566113,Whaling Survey,,,1,Holocene,,0.0117,0,55082,AR,,,estimated from map,seconds,,,gp_mid,-59.09,-38.57,202
168210,col,,17.246389,-30.024721,Whaling Survey,,,1,Holocene,,0.0117,0,55082,ZA,,,estimated from map,seconds,,,gp_mid,17.25,-30.02,701
168211,col,,-8.681389,39.860558,Whaling Survey,,,1,Holocene,,0.0117,0,55082,PT,,,estimated from map,seconds,,,gp_mid,-8.68,39.86,304
168212,col,,-77.323891,34.376667,Whaling Survey,,,1,Holocene,,0.0117,0,55082,US,North Carolina,,estimated from map,seconds,,,gp_mid,-77.32,34.38,109
168213,col,,-123.466393,39.276112,Whaling Survey,,,1,Holocene,,0.0117,0,55082,US,California,,estimated from map,seconds,,,gp_mid,-123.47,39.28,130
168215,col,,141.523895,38.433334,Whaling Survey,,,1,Holocene,,0.0117,0,55082,JP,,,estimated from map,seconds,,,gp_mid,141.52,38.43,610
168216,col,,178.525833,-38.133331,Whaling Survey,,,1,Holocene,,0.0117,0,55082,NZ,,,estimated from map,seconds,,,gp_mid,178.53,-38.13,806
168217,col,,-71.91861,-34.462223,Whaling Survey,,,1,Holocene,,0.0117,0,55082,CL,,,estimated from map,seconds,,,gp_mid,-71.92,-34.46,291
168218,col,,31.616388,-29.133888,Whaling Survey,,,1,Holocene,,0.0117,0,55082,ZA,,,estimated from map,seconds,,,gp_mid,31.62,-29.13,701
168219,col,,84.087219,17.72139,Whaling Survey,,,1,Holocene,,0.0117,0,55082,IN,,,estimated from map,seconds,,,gp_mid,,,coordinates not computable using this model
168227,col,,82.550835,16.210278,Whaling Survey,,,1,Holocene,,0.0117,0,55090,IN,,,estimated from map,seconds,,,gp_mid,,,coordinates not computable using this model
168228,col,,107.951111,10.838333,Whaling Survey,,,1,Holocene,,0.0117,0,55090,VN,,,estimated from map,seconds,,,gp_mid,107.95,10.84,615
168229,col,,145.128891,-16.106943,Whaling Survey,,,1,Holocene,,0.0117,0,55090,AU,Queensland,,estimated from map,seconds,,,gp_mid,145.13,-16.11,801
168230,col,,-62.644444,58.399166,Whaling Survey,,,1,Holocene,,0.0117,0,55091,CA,Newfoundland and Labrador,,estimated from map,seconds,,,gp_mid,-62.64,58.4,101
168231,col,,-16.941389,63.784721,Whaling Survey,,,1,Holocene,,0.0117,0,55091,IS,,,estimated from map,seconds,,,gp_mid,-16.94,63.78,907
168232,col,,20.675833,80.361115,Whaling Survey,,,1,Holocene,,0.0117,0,55091,SJ,,,estimated from map,seconds,,,gp_mid,20.68,80.36,311
168233,col,,-49.460835,62.060555,Whaling Survey,,,1,Holocene,,0.0117,0,55092,GL,,,estimated from map,seconds,,,gp_mid,-49.46,62.06,102
168234,col,,27.003889,80.169441,Whaling Survey,,,1,Holocene,,0.0117,0,55092,SJ,,,estimated from map,seconds,,,gp_mid,27,80.17,311
168235,col,,-158.708893,57.117222,Whaling Survey,,,1,Holocene,,0.0117,0,55092,US,Alaska,,estimated from map,seconds,,,gp_mid,-158.71,57.12,125
168236,col,,174.945831,61.738056,Whaling Survey,,,1,Holocene,,0.0117,0,55092,RU,,,estimated from map,seconds,,,gp_mid,174.95,61.74,485
168237,col,,56.359444,18.129723,Whaling Survey,,,1,Holocene,,0.0117,0,55093,OM,,,estimated from map,seconds,,,gp_mid,56.36,18.13,503
168238,col,,85.80278,19.479168,Whaling Survey,,,1,Holocene,,0.0117,0,55093,IN,,,estimated from map,seconds,,,gp_mid,,,coordinates not computable using this model
168239,col,,112.323891,-8.4,Whaling Survey,,,1,Holocene,,0.0117,0,55093,ID,,,estimated from map,seconds,,,gp_mid,112.32,-8.4,620
168240,col,,120.695557,22.035833,Whaling Survey,,,1,Holocene,,0.0117,0,55093,TW,,,estimated from map,seconds,,,gp_mid,120.7,22.04,611
168241,col,,-9.954167,29.059444,Whaling Survey,,,1,Holocene,,0.0117,0,55092,MA,,,estimated from map,seconds,,,gp_mid,-9.95,29.06,714
168242,col,,-79.080002,33.362221,Whaling Survey,,,1,Holocene,,0.0117,0,55092,US,South Carolina,,estimated from map,seconds,,,gp_mid,-79.08,33.36,109
168243,col,,-123.728333,39.137779,Whaling Survey,,,1,Holocene,,0.0117,0,55092,US,California,,estimated from map,seconds,,,gp_mid,-123.73,39.14,130
168244,col,,141.477493,38.395832,Whaling Survey,,,1,Holocene,,0.0117,0,55092,JP,,,estimated from map,seconds,,,gp_mid,141.48,38.4,610
168245,col,,148.244995,-41.581112,Whaling Survey,,,1,Holocene,,0.0117,0,55092,AU,Tasmania,,estimated from map,seconds,,,gp_mid,148.24,-41.58,801
168246,col,,-69.196388,-51.068611,Whaling Survey,,,1,Holocene,,0.0117,0,55092,AR,,,estimated from map,seconds,,,gp_mid,-69.2,-51.07,291
168247,col,,-74.909164,-51.340832,Whaling Survey,,,1,Holocene,,0.0117,0,55092,CL,,,estimated from map,seconds,,,gp_mid,-74.91,-51.34,291
168248,col,,-58.385834,-63.406387,Whaling Survey,,,1,Holocene,,0.0117,0,55092,AA,,,estimated from map,seconds,,,gp_mid,-58.39,-63.41,803
168249,col,,141.301666,37.444168,Whaling Survey,,,1,Holocene,,0.0117,0,55092,JP,,,estimated from map,seconds,,,gp_mid,141.3,37.44,610
168250,col,,-123.820274,39.206112,Whaling Survey,,,1,Holocene,,0.0117,0,55092,US,California,,estimated from map,seconds,,,gp_mid,-123.82,39.21,130
168251,col,,-8.7675,40.770832,Whaling Survey,,,1,Holocene,,0.0117,0,55094,PT,,,estimated from map,seconds,,,gp_mid,-8.77,40.77,304
168252,col,,14.181667,-10.328889,Whaling Survey,,,1,Holocene,,0.0117,0,55094,AO,,,estimated from map,seconds,,,gp_mid,14.18,-10.33,701
168253,col,,-38.201111,-15.768889,Whaling Survey,,,1,Holocene,,0.0117,0,55094,BR,,,estimated from map,seconds,,,gp_mid,,,coordinates not computable using this model
168254,col,,-77.3125,34.40361,Whaling Survey,,,1,Holocene,,0.0117,0,55094,US,North Carolina,,estimated from map,seconds,,,gp_mid,-77.31,34.4,109
168255,col,,-121.741112,36.165001,Whaling Survey,,,1,Holocene,,0.0117,0,55094,US,California,,estimated from map,seconds,,,gp_mid,,,coordinates not computable using this model
168256,col,,-77.79583,-11.169722,Whaling Survey,,,1,Holocene,,0.0117,0,55094,PE,,,estimated from map,seconds,,,gp_mid,-77.8,-11.17,201
168257,col,,178.317505,-38.533611,Whaling Survey,,,1,Holocene,,0.0117,0,55094,NZ,,,estimated from map,seconds,,,gp_mid,178.32,-38.53,806
168258,col,,140.744171,35.801109,Whaling Survey,,,1,Holocene,,0.0117,0,55094,JP,,,estimated from map,seconds,,,gp_mid,140.74,35.8,610
168259,col,,13.126944,41.177502,Whaling Survey,,,1,Holocene,,0.0117,0,55094,IT,,,estimated from map,seconds,,,gp_mid,13.13,41.18,307
168260,col,,48.107498,4.836389,Whaling Survey,,,1,Holocene,,0.0117,0,55094,SO,,,estimated from map,seconds,,,gp_mid,48.11,4.84,709
168261,col,,82.121109,16.231667,Whaling Survey,,,1,Holocene,,0.0117,0,55094,IN,,,estimated from map,seconds,,,gp_mid,,,coordinates not computable using this model
168262,col,,23.234444,79.194725,Whaling Survey,,,1,Holocene,,0.0117,0,55094,SJ,,,estimated from map,seconds,,,gp_mid,23.23,79.19,311
168263,col,,-55.163891,-63.475834,Whaling Survey,,,1,Holocene,,0.0117,0,55094,AA,,,estimated from map,seconds,,,gp_mid,-55.16,-63.48,803
168341,col,,-4.8125,50.561111,Whaling Survey,,,1,Holocene,,0.0117,0,55079,UK,,,estimated from map,seconds,,,gp_mid,-4.81,50.56,315
